Unnamed: 0,Product,Review_Summary,Rating
32683,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent product. We are very happy with the dishwasher. It's being used everyday and its made our lives easier.,5
32684,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Product is good but the service person who came for installation was very cunning. When he called initially to inform us that he's coming, he asked us if we wanted the stand too. I told him clearly that I already had a brand new stand. After coming to our house, he informed us several times that he brought the stand anyway and it was FREE of charge. When he saw our stand, he told us his FREE stand better, so finally I said ok. Immediately after installation, he asked us to pay 1500 for the sa...",3
32685,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,I would have given 4.75 if possible... 0.25 deducted as my tea utincil needs scrubbing either before or after wash.. even soaking it in water for few hrs dosen't help..,5
32686,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Working, good condition. Paid Rs2250/- towards cost of stand and tap to Samual, Bosch Technician.",5
32687,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"nice product which saves 80% of efforts.. 20% efforts is arranging dishes so compact and some vessel like tea maker, milk boiler does not do well.. rest is ok.. also lack many dish washer detergent product in market.. existing ones little costly...",5
32688,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Its a very reliable product. Have been using it from 4 months.,5
32689,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Performance of machine is too good. Stainless steel plates & utensils, glass crockery are washed sparkling clean. Washes toughest stains and it's hot water washing &  rinsing makes it sterilized.Little issues in washing of nonstick pans and anodised coated vessels as nonstick coating is washed away and salt deposition on anodised utencils",4
32690,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,This product is surely a good one.Delivery experience was excellent and so was the demo.The Bosch demo team called the same day when the delivery happened.The whole experience was good.Product is also good.,5
32691,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Very useful product... no need to depend on maid... should have buy it earlier.....vessels get sparkle clean.....easy to arrange vessels....hygienic wash.....now my kitchen is clean every time ....no dirty vessels waiting for maid.....,5
32692,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,This is something new and innovative machine for indian grease and tough stain and of course purely made for steel utensils. Only tricky part is to arrange utensils like solving mathematical equation.Go for it.,5
32693,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"the installation part is very pathetic, the tech person does not even carry any plumbing tools and got demo in power off mode itself which is  not at all satisfactory. so giving this rating.  I will edit the rating once I started using it.",2
32694,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,For big family members it not it will clean the vessel only few other wise don't expect more from this machine,1
32695,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good  product. Advantages over other brands1. Memory capacity ie during the current cut it starts at the place where it was  shut down 2.  suitable for family of 43.utensils are  loaded in 20 to 30 minutes after pre washing or rinsing in tap water4.  Common product among indian population. hence availability of spare parts in future. Disadvantages1. It is not possible to wash every thing especially  (Common for all brands) a.  non stick and ceramic coatedb. cookers and lids c. Milk ...,4
32696,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,I am fully dependent on it,5
32697,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Good product,  should be made in India , so that can be afforded by everyone",5
32698,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,The best dishwasher as per my research that o conducted before buying. And I must say it lives to that consensus.,5
32699,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good Product and service. Must buy this excellent machine. But ensure 220v electric supply first.,5
32700,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Very nice.Excellent washing.,5
32701,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,I regret not buying this before,5
32702,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,It's useful. But it is not a substitute for manual dish wash. It has limitations and prerequisites.,4
32703,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,So far working great; this is our 2nd Bosch dishwasher; it never disappointed us.,5
32704,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Value for money product///Easy to use///Very comfortable for family of 2-3 people.,5
32705,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Flipkart messed up big time,1
32706,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good one time investment and no tension for maid. Extra cost customers need to bear is washing detergent as normal detergent not work with this. Hope this works for at least 8 years to get the cost.,5
32707,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,After checking all the reviews I bought this product. Satisfied and happy.,4
32708,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,good product really happy for washing pots extremely well and clean stain,5
32709,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Awesome dishwash far better one can expected...Go for it,5
32710,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Very very super packing was gud. Nd fresh piece,5
32711,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Do not buy if you have hard water.,5
32712,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Excellent product. Poor installation experience. Has developed an internal leak, after performing exceedingly well for a week. Have emailed Bosch. Let's hope for the best",1
32713,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Washes dishes better than maid . Just go for it .,5
32714,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,I received a faulty machine and did not return even after various follow-ups with Flipkart,1
32715,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Worst experience, after 3days used ,heat element burnout, and that three days no good cleaning, all utensils white coted , don't buy dishwashers,,, and finally I retuned the product  sooooo waaaaaaste",1
32716,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Milk warming utensils are not cleaned properly....very disappointing.....not able to use alumunium pressure coocker.....half work still have to do by hands....waste of money....and neary 500 rupees every month for detergent, rinse aid, and salt....which are unavailable in local market.....only you can buy it in online sites....it cannot clean that much even in intense kadhai mode",3
